c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
6,2,13,13,0,3.03907567463522,21.1559697059891,10.2703831102237
6,6,8,8,3,7.41577557879368,15.4666851857045,17.3941855890896
2,2,20,20,2,10.8763567377011,30.2254855089199,1.3936669947687
6,2,13,13,0,3.03907567463522,21.1559697059891,10.2703831102237
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
2,2,20,20,2,10.8763567377011,30.2254855089199,1.3936669947687
2,3,15,15,0,3.89502146640621,23.2703116335863,7.03972245956417
6,6,7,7,3,8.63578751629416,14.2836542480547,18.7683243791235
2,7,13,13,0,4.26375924836176,21.3245730513964,10.6563451665049
2,2,23,23,2,15.0846226373446,34.455285372742,4.56786433854865
2,2,22,22,2,13.6795079846696,33.0449862787287,3.24926027084507
2,2,22,22,2,13.6795079846696,33.0449862787287,3.24926027084507
2,2,20,20,2,10.8763567377011,30.2254855089199,1.3936669947687
2,2,24,24,2,16.4912929001804,35.8658927404966,5.9306894138099
2,2,24,24,2,16.4912929001804,35.8658927404966,5.9306894138099
2,2,24,24,2,16.4912929001804,35.8658927404966,5.9306894138099
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,7,7,3,8.63578751629416,14.2836542480547,18.7683243791235
6,6,7,7,3,8.63578751629416,14.2836542480547,18.7683243791235
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
6,6,5,5,3,11.2135196619831,12.0677932848774,21.5321762807343
1,1,-1,-1,1,19.1863194541214,1.21517620809357,29.7221103919935
2,2,2,2,1,14.791582421554,5.29713876040405,25.385110717778
6,2,6,6,3,9.50356096928959,12.0501473231944,19.9330610563687
1,1,-1,-1,1,19.1863194541214,1.21517620809357,29.7221103919935
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,16,16,0,5.35047009634987,24.5926348004245,5.71940018372017
2,2,16,16,0,5.35047009634987,24.5926348004245,5.71940018372017
2,2,16,16,0,5.35047009634987,24.5926348004245,5.71940018372017
2,2,16,16,0,5.35047009634987,24.5926348004245,5.71940018372017
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,6,17,17,2,7.27232323136917,26.5257311792593,5.25686364523708
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
6,2,11,11,0,3.52167263374354,18.4711642916544,12.9948214537709
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,17,17,2,6.71151485585668,25.9998703531915,4.36110430616267
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,2,2,1,14.791582421554,5.29713876040405,25.385110717778
1,1,1,1,1,16.3996541735641,3.44496692700464,26.9076054447294
6,6,8,8,3,7.41577557879368,15.4666851857045,17.3941855890896
4,2,14,14,0,2.59293364740046,22.0587530095431,8.481881141133
6,2,8,8,3,6.86669308429509,14.5463808014959,17.1447457750854
2,2,13,13,0,1.8376142213702,20.3767261982854,9.88880485895345
2,2,13,13,0,1.8376142213702,20.3767261982854,9.88880485895345
2,2,12,12,0,1.72044314585845,18.9740717455208,11.2907382057494
2,2,13,13,0,1.8376142213702,20.3767261982854,9.88880485895345
2,2,13,13,0,1.8376142213702,20.3767261982854,9.88880485895345
6,2,11,11,0,3.52167263374354,18.4711642916544,12.9948214537709
6,6,8,8,3,7.41577557879368,15.4666851857045,17.3941855890896
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,14,14,0,2.79172481362915,21.7808756140705,8.49094540355511
2,2,15,15,0,4.02624252169233,23.1862483914783,7.09956661732574
6,6,7,7,3,8.63578751629416,14.2836542480547,18.7683243791235
2,2,15,15,0,4.02624252169233,23.1862483914783,7.09956661732574
2,2,12,12,0,1.72044314585845,18.9740717455208,11.2907382057494
2,2,10,10,0,3.7584733338458,16.1748030804932,14.1019638566898
2,2,12,12,0,1.72044314585845,18.9740717455208,11.2907382057494
2,2,10,10,0,3.7584733338458,16.1748030804932,14.1019638566898
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
2,2,10,10,0,3.7584733338458,16.1748030804932,14.1019638566898
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
2,2,10,10,0,3.7584733338458,16.1748030804932,14.1019638566898
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
6,2,17,17,2,7.13467494634215,26.6149834120483,5.16832066164033
2,2,20,20,2,10.8763567377011,30.2254855089199,1.3936669947687
2,2,20,20,2,10.8763567377011,30.2254855089199,1.3936669947687
2,2,26,26,2,19.3079399298952,38.68789740971,8.70565687001627
2,2,26,26,2,19.3079399298952,38.68789740971,8.70565687001627
2,2,15,15,0,4.02624252169233,23.1862483914783,7.09956661732574
2,2,15,15,0,4.02624252169233,23.1862483914783,7.09956661732574
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
2,2,11,11,0,2.55793338648227,17.5732702320442,12.6953958946965
