c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,x_block_coordinate,y_block_coordinate,objectid,codmanzana,codsector,codsubsector,x_centroid_coordinate,y_centroid_coordinate,x_true_centroid_coordinate,y_true_centroid_coordinate,block_area,block_length,c1_length,c2_length,l1_length,l2_length,block_apexes_number,rectangular_form,square_form,is_multipart
2,2,14,14,774850.5,8.989177e+06,6221,102487,10,102,774850.5,8.989177e+06,774850.5,8.989177e+06,4037.4087,278.169,41.87899,97.879166,40.699356,97.71148,4,t,f,f
2,2,14,14,775070.56,8.989383e+06,6222,102542,10,102,775070.56,8.989383e+06,775070.56,8.989383e+06,4188.5806,281.65433,42.671646,98.265,42.67948,98.0382,4,t,f,f
2,2,16,16,774986.56,8.989343e+06,6223,102532,10,102,774986.56,8.989343e+06,774986.56,8.989343e+06,4703.854,307.99533,41.999283,111.998375,41.999355,111.99831,5,f,t,f
2,2,16,16,774896.5,8.989258e+06,6224,102508,10,102,774896.5,8.989258e+06,774896.5,8.989258e+06,4716.2397,308.4356,42.04576,112.335014,42.046227,112.008606,4,t,f,f
2,2,16,16,775025.06,8.989302e+06,6225,102531,10,102,775025.06,8.989302e+06,775025.06,8.989302e+06,4723.138,308.46008,42.00316,112.22793,42.26826,111.96074,4,t,f,f
2,2,16,16,774934.9,8.989217e+06,6226,102483,10,102,774934.9,8.989217e+06,774934.9,8.989217e+06,4737.4644,308.64557,42.269367,111.783264,42.30157,112.29137,4,t,f,f
2,2,17,17,774935.1,8.989086e+06,6227,102486,10,102,774935.1,8.989086e+06,774935.1,8.989086e+06,5030.2764,322.63223,42.271313,119.022385,42.22439,119.11416,4,f,t,f
2,6,17,17,775154.7,8.989293e+06,6228,102530,10,102,775154.7,8.989293e+06,775154.7,8.989293e+06,5036.436,323.02628,42.066055,118.92964,42.383137,119.64744,4,t,f,f
2,2,17,17,775113.94,8.989254e+06,6229,102509,10,102,775113.94,8.989254e+06,775113.94,8.989254e+06,4931.0044,320.80453,41.370457,118.72333,41.54307,119.167694,4,t,f,f
2,2,17,17,774975.75,8.989125e+06,6230,102485,10,102,774975.75,8.989125e+06,774975.75,8.989125e+06,4992.124,322.36652,42.43002,119.387856,41.233646,119.31501,4,t,f,f
2,2,14,14,775199.44,8.989204e+06,6231,102474,10,102,775199.44,8.989204e+06,775199.44,8.989204e+06,4150.446,280.84906,42.253403,98.27562,42.342415,97.977615,4,t,f,f
6,2,11,11,775020.44,8.989035e+06,6232,102484,10,102,775020.44,8.989035e+06,775020.44,8.989035e+06,4121.3013,280.00168,41.83358,98.05663,42.364597,97.746864,4,t,f,f
2,2,17,17,775109.94,8.98912e+06,6233,102479,10,102,775109.94,8.98912e+06,775109.94,8.98912e+06,5050.979,323.34766,42.16432,119.49453,42.497242,119.19158,4,t,f,f
2,2,11,11,774978.75,8.98963e+06,6234,102615,10,102,774978.75,8.98963e+06,774978.75,8.98963e+06,4110.9873,280.0343,41.511948,97.96565,42.28853,98.26818,4,t,f,f
2,2,14,14,775292.56,8.989291e+06,6235,102529,10,102,775292.56,8.989291e+06,775292.56,8.989291e+06,4119.1797,280.3333,41.96738,98.228874,41.897648,98.239395,4,f,t,f
2,2,14,14,775371.5,8.98906e+06,6236,102473,10,102,775371.5,8.98906e+06,775371.5,8.98906e+06,4134.692,280.66083,41.940247,98.09025,42.23222,98.398125,4,t,f,f
2,2,17,17,775455.8,8.988969e+06,6237,102438,10,102,775455.8,8.988969e+06,775455.8,8.988969e+06,5012.3105,322.27957,41.74553,119.12985,42.474705,118.92948,4,t,f,f
2,2,17,17,775417.8,8.988931e+06,6238,102437,10,102,775417.8,8.988931e+06,775417.8,8.988931e+06,4997.861,321.99545,41.999397,118.99825,41.999466,118.99833,4,f,t,f
2,2,17,17,775275,8.9888e+06,6239,102374,10,102,775275,8.9888e+06,775275,8.9888e+06,4993.8213,322.46622,41.709248,119.84368,41.936836,118.97645,4,t,f,f
2,2,14,14,775674.2,8.989004e+06,6240,102469,10,102,775674.2,8.989004e+06,775674.2,8.989004e+06,4141.728,281.2556,40.958042,98.74987,43.028572,98.51911,4,t,f,f
2,2,14,14,775592.5,8.988928e+06,6241,102439,10,102,775592.5,8.988928e+06,775592.5,8.988928e+06,4075.3774,278.84897,41.676582,97.41115,41.739944,98.021286,4,t,f,f
2,2,14,14,775633.3,8.988967e+06,6242,102440,10,102,775633.3,8.988967e+06,775633.3,8.988967e+06,4010.7034,277.711,40.99037,97.53992,40.986866,98.19383,4,t,f,f
2,2,2,2,775558.7,8.989255e+06,6243,102512,10,102,775558.7,8.989255e+06,775558.7,8.989255e+06,10935.338,418.70703,99.99862,109.3549,99.99855,109.354965,4,f,t,f
1,1,1,1,775379.2,8.988896e+06,6244,102413,10,102,775379.2,8.988896e+06,775379.2,8.988896e+06,3884.871,291.99557,34.99943,110.9985,34.999218,110.99842,5,f,t,f
6,6,8,8,775612,8.990161e+06,6245,102732,10,102,775612,8.990161e+06,775612,8.990161e+06,3023.9553,239.9967,35.999424,83.997986,36.00119,83.9981,4,f,t,f
4,2,14,14,775670.9,8.990085e+06,6246,102708,10,102,775670.9,8.990085e+06,775670.9,8.990085e+06,2963.2715,238.04099,35.68331,83.695206,35.29977,83.36269,4,t,f,f
6,2,8,8,775607.4,8.99003e+06,6247,102702,10,102,775607.4,8.99003e+06,775607.4,8.99003e+06,2413.0972,206.08923,36.243507,65.88498,35.911835,68.04891,4,t,f,f
2,2,13,13,775713.94,8.990243e+06,6248,102733,10,102,775713.94,8.990243e+06,775713.94,8.990243e+06,2568.0784,215.13132,35.431335,71.83085,36.10755,71.76158,4,t,f,f
2,2,13,13,775646.9,8.99e+06,6249,102701,10,102,775646.9,8.99e+06,775646.9,8.99e+06,3277.0837,253.94745,35.81959,90.82967,36.28496,91.01323,4,t,f,f
2,2,12,12,775719.06,8.990061e+06,6250,102709,10,102,775719.06,8.990061e+06,775719.06,8.990061e+06,3046.1653,239.80537,37.024506,82.94876,36.181553,83.65056,4,t,f,f
2,2,13,13,775743.7,8.990206e+06,6251,102734,10,102,775743.7,8.990206e+06,775743.7,8.990206e+06,2558.6196,214.47282,35.999725,71.57665,35.673763,71.22268,4,t,f,f
2,2,13,13,775773.75,8.990168e+06,6252,102730,10,102,775773.75,8.990168e+06,775773.75,8.990168e+06,2534.7622,213.86014,35.84477,71.4363,35.101513,71.47755,4,t,f,f
6,2,11,11,775919.3,8.989607e+06,6253,102607,10,102,775919.3,8.989607e+06,775919.3,8.989607e+06,3010.7102,239.67297,36.131653,84.21588,35.856,83.46944,4,t,f,f
6,6,8,8,775877.3,8.989569e+06,6254,102587,10,102,775877.3,8.989569e+06,775877.3,8.989569e+06,3185.7395,247.19812,35.962185,85.80108,37.44258,87.99228,4,t,f,f
2,2,11,11,775786.25,8.989385e+06,6255,102551,10,102,775786.25,8.989385e+06,775786.25,8.989385e+06,2375.906,203.996,35.999195,65.998726,35.999336,65.99874,4,f,t,f
2,2,11,11,775815.6,8.989348e+06,6256,102525,10,102,775815.6,8.989348e+06,775815.6,8.989348e+06,2375.9094,203.9961,35.99932,65.998726,35.99932,65.998726,4,f,t,f
